population,year,sex,e0,source
England,1980,female,76.81,single_year_lifetables
England,1981,female,77.11,single_year_lifetables
England,1982,female,77.2,single_year_lifetables
England,1983,female,77.45,single_year_lifetables
England,1984,female,77.79,single_year_lifetables
England,1985,female,77.59,single_year_lifetables
England,1986,female,77.88,single_year_lifetables
England,1987,female,78.17,single_year_lifetables
England,1988,female,78.25,single_year_lifetables
England,1989,female,78.35,single_year_lifetables
England,1990,female,78.7,single_year_lifetables
England,1991,female,78.78,single_year_lifetables
England,1992,female,79.15,single_year_lifetables
England,1993,female,79.01,single_year_lifetables
England,1994,female,79.53,single_year_lifetables
England,1995,female,79.45,single_year_lifetables
England,1996,female,79.56,single_year_lifetables
England,1997,female,79.72,single_year_lifetables
England,1998,female,79.94,single_year_lifetables
England,1999,female,80.03,single_year_lifetables
England,2000,female,80.37,single_year_lifetables
England,2001,female,80.6,single_year_lifetables
England,2002,female,80.73,single_year_lifetables
England,2003,female,80.7,single_year_lifetables
England,2004,female,81.26,single_year_lifetables
England,2005,female,81.42,single_year_lifetables
England,2006,female,81.72,single_year_lifetables
England,2007,female,81.89,single_year_lifetables
England,2008,female,81.94,single_year_lifetables
England,2009,female,82.47,single_year_lifetables
England,2010,female,82.59,single_year_lifetables
England,2011,female,82.96,single_year_lifetables
England,2012,female,82.92,single_year_lifetables
England,2013,female,82.99,single_year_lifetables
England,2014,female,83.23,single_year_lifetables
England,2015,female,82.96,single_year_lifetables
England,2016,female,83.11,single_year_lifetables
England,2017,female,83.23,single_year_lifetables
England,2018,female,83.2,single_year_lifetables
England,2019,female,83.51,npp_2024_based_historic
England,2020,female,82.58,npp_2024_based_historic
England,2021,female,82.8,npp_2024_based_historic
England,2022,female,83.14,npp_2024_based_historic
England,2023,female,83.21,npp_2024_based_historic
England,2024,female,83.57,npp_2024_based_historic
England,1980,male,70.8,single_year_lifetables
England,1981,male,71.13,single_year_lifetables
England,1982,male,71.29,single_year_lifetables
England,1983,male,71.54,single_year_lifetables
England,1984,male,71.95,single_year_lifetables
England,1985,male,71.87,single_year_lifetables
England,1986,male,72.09,single_year_lifetables
England,1987,male,72.48,single_year_lifetables
England,1988,male,72.6,single_year_lifetables
England,1989,male,72.85,single_year_lifetables
England,1990,male,73.08,single_year_lifetables
England,1991,male,73.29,single_year_lifetables
England,1992,male,73.74,single_year_lifetables
England,1993,male,73.73,single_year_lifetables
England,1994,male,74.3,single_year_lifetables
England,1995,male,74.25,single_year_lifetables
England,1996,male,74.48,single_year_lifetables
England,1997,male,74.78,single_year_lifetables
England,1998,male,74.97,single_year_lifetables
England,1999,male,75.24,single_year_lifetables
England,2000,male,75.64,single_year_lifetables
England,2001,male,75.95,single_year_lifetables
England,2002,male,76.11,single_year_lifetables
England,2003,male,76.34,single_year_lifetables
England,2004,male,76.88,single_year_lifetables
England,2005,male,77.14,single_year_lifetables
England,2006,male,77.46,single_year_lifetables
England,2007,male,77.75,single_year_lifetables
England,2008,male,77.89,single_year_lifetables
England,2009,male,78.35,single_year_lifetables
England,2010,male,78.68,single_year_lifetables
England,2011,male,79.09,single_year_lifetables
England,2012,male,79.26,single_year_lifetables
England,2013,male,79.27,single_year_lifetables
England,2014,male,79.51,single_year_lifetables
England,2015,male,79.34,single_year_lifetables
England,2016,male,79.52,single_year_lifetables
England,2017,male,79.59,single_year_lifetables
England,2018,male,79.55,single_year_lifetables
England,2019,male,79.78,npp_2024_based_historic
England,2020,male,78.53,npp_2024_based_historic
England,2021,male,78.73,npp_2024_based_historic
England,2022,male,79.25,npp_2024_based_historic
England,2023,male,79.26,npp_2024_based_historic
England,2024,male,79.69,npp_2024_based_historic
England & Wales,1980,female,76.78,single_year_lifetables
England & Wales,1981,female,77.07,single_year_lifetables
England & Wales,1982,female,77.16,single_year_lifetables
England & Wales,1983,female,77.41,single_year_lifetables
England & Wales,1984,female,77.77,single_year_lifetables
England & Wales,1985,female,77.56,single_year_lifetables
England & Wales,1986,female,77.86,single_year_lifetables
England & Wales,1987,female,78.15,single_year_lifetables
England & Wales,1988,female,78.24,single_year_lifetables
England & Wales,1989,female,78.32,single_year_lifetables
England & Wales,1990,female,78.7,single_year_lifetables
England & Wales,1991,female,78.77,single_year_lifetables
England & Wales,1992,female,79.14,single_year_lifetables
England & Wales,1993,female,78.99,single_year_lifetables
England & Wales,1994,female,79.51,single_year_lifetables
England & Wales,1995,female,79.42,single_year_lifetables
England & Wales,1996,female,79.53,single_year_lifetables
England & Wales,1997,female,79.69,single_year_lifetables
England & Wales,1998,female,79.91,single_year_lifetables
England & Wales,1999,female,79.99,single_year_lifetables
England & Wales,2000,female,80.35,single_year_lifetables
England & Wales,2001,female,80.56,single_year_lifetables
England & Wales,2002,female,80.69,single_year_lifetables
England & Wales,2003,female,80.67,single_year_lifetables
England & Wales,2004,female,81.22,single_year_lifetables
England & Wales,2005,female,81.39,single_year_lifetables
England & Wales,2006,female,81.7,single_year_lifetables
England & Wales,2007,female,81.84,single_year_lifetables
England & Wales,2008,female,81.9,single_year_lifetables
England & Wales,2009,female,82.43,single_year_lifetables
England & Wales,2010,female,82.55,single_year_lifetables
England & Wales,2011,female,82.92,single_year_lifetables
England & Wales,2012,female,82.87,single_year_lifetables
England & Wales,2013,female,82.94,single_year_lifetables
England & Wales,2014,female,83.19,single_year_lifetables
England & Wales,2015,female,82.9,single_year_lifetables
England & Wales,2016,female,83.07,single_year_lifetables
England & Wales,2017,female,83.18,single_year_lifetables
England & Wales,2018,female,83.14,single_year_lifetables
England & Wales,1980,male,70.77,single_year_lifetables
England & Wales,1981,male,71.09,single_year_lifetables
England & Wales,1982,male,71.26,single_year_lifetables
England & Wales,1983,male,71.5,single_year_lifetables
England & Wales,1984,male,71.92,single_year_lifetables
England & Wales,1985,male,71.83,single_year_lifetables
England & Wales,1986,male,72.05,single_year_lifetables
England & Wales,1987,male,72.45,single_year_lifetables
England & Wales,1988,male,72.59,single_year_lifetables
England & Wales,1989,male,72.83,single_year_lifetables
England & Wales,1990,male,73.06,single_year_lifetables
England & Wales,1991,male,73.28,single_year_lifetables
England & Wales,1992,male,73.73,single_year_lifetables
England & Wales,1993,male,73.7,single_year_lifetables
England & Wales,1994,male,74.26,single_year_lifetables
England & Wales,1995,male,74.2,single_year_lifetables
England & Wales,1996,male,74.45,single_year_lifetables
England & Wales,1997,male,74.74,single_year_lifetables
England & Wales,1998,male,74.95,single_year_lifetables
England & Wales,1999,male,75.18,single_year_lifetables
England & Wales,2000,male,75.59,single_year_lifetables
England & Wales,2001,male,75.91,single_year_lifetables
England & Wales,2002,male,76.08,single_year_lifetables
England & Wales,2003,male,76.29,single_year_lifetables
England & Wales,2004,male,76.84,single_year_lifetables
England & Wales,2005,male,77.11,single_year_lifetables
England & Wales,2006,male,77.43,single_year_lifetables
England & Wales,2007,male,77.68,single_year_lifetables
England & Wales,2008,male,77.85,single_year_lifetables
England & Wales,2009,male,78.3,single_year_lifetables
England & Wales,2010,male,78.63,single_year_lifetables
England & Wales,2011,male,79.03,single_year_lifetables
England & Wales,2012,male,79.2,single_year_lifetables
England & Wales,2013,male,79.2,single_year_lifetables
England & Wales,2014,male,79.46,single_year_lifetables
England & Wales,2015,male,79.28,single_year_lifetables
England & Wales,2016,male,79.44,single_year_lifetables
England & Wales,2017,male,79.52,single_year_lifetables
England & Wales,2018,male,79.47,single_year_lifetables
Great Britain,1980,female,76.63,single_year_lifetables
Great Britain,1981,female,76.91,single_year_lifetables
Great Britain,1982,female,76.98,single_year_lifetables
Great Britain,1983,female,77.24,single_year_lifetables
Great Britain,1984,female,77.59,single_year_lifetables
Great Britain,1985,female,77.39,single_year_lifetables
Great Britain,1986,female,77.71,single_year_lifetables
Great Britain,1987,female,77.99,single_year_lifetables
Great Britain,1988,female,78.09,single_year_lifetables
Great Britain,1989,female,78.11,single_year_lifetables
Great Britain,1990,female,78.53,single_year_lifetables
Great Britain,1991,female,78.62,single_year_lifetables
Great Britain,1992,female,78.96,single_year_lifetables
Great Britain,1993,female,78.79,single_year_lifetables
Great Britain,1994,female,79.34,single_year_lifetables
Great Britain,1995,female,79.25,single_year_lifetables
Great Britain,1996,female,79.36,single_year_lifetables
Great Britain,1997,female,79.53,single_year_lifetables
Great Britain,1998,female,79.75,single_year_lifetables
Great Britain,1999,female,79.82,single_year_lifetables
Great Britain,2000,female,80.18,single_year_lifetables
Great Britain,2001,female,80.4,single_year_lifetables
Great Britain,2002,female,80.52,single_year_lifetables
Great Britain,2003,female,80.5,single_year_lifetables
Great Britain,2004,female,81.05,single_year_lifetables
Great Britain,2005,female,81.21,single_year_lifetables
Great Britain,2006,female,81.51,single_year_lifetables
Great Britain,2007,female,81.64,single_year_lifetables
Great Britain,2008,female,81.71,single_year_lifetables
Great Britain,2009,female,82.23,single_year_lifetables
Great Britain,2010,female,82.36,single_year_lifetables
Great Britain,2011,female,82.72,single_year_lifetables
Great Britain,2012,female,82.67,single_year_lifetables
Great Britain,2013,female,82.76,single_year_lifetables
Great Britain,2014,female,83.01,single_year_lifetables
Great Britain,2015,female,82.72,single_year_lifetables
Great Britain,2016,female,82.88,single_year_lifetables
Great Britain,2017,female,82.99,single_year_lifetables
Great Britain,2018,female,82.94,single_year_lifetables
Great Britain,1980,male,70.6,single_year_lifetables
Great Britain,1981,male,70.9,single_year_lifetables
Great Britain,1982,male,71.07,single_year_lifetables
Great Britain,1983,male,71.32,single_year_lifetables
Great Britain,1984,male,71.73,single_year_lifetables
Great Britain,1985,male,71.67,single_year_lifetables
Great Britain,1986,male,71.87,single_year_lifetables
Great Britain,1987,male,72.27,single_year_lifetables
Great Britain,1988,male,72.39,single_year_lifetables
