country,year,sex,e0
AUS,1921,female,63.18
AUS,1921,male,59.1
AUS,1922,female,65.11
AUS,1922,male,60.88
AUS,1923,female,63.66
AUS,1923,male,59.98
AUS,1924,female,64.51
AUS,1924,male,60.77
AUS,1925,female,65.38
AUS,1925,male,61.3
AUS,1926,female,65.07
AUS,1926,male,60.99
AUS,1927,female,64.85
AUS,1927,male,61.1
AUS,1928,female,64.72
AUS,1928,male,61.33
AUS,1929,female,65.39
AUS,1929,male,61.1
AUS,1930,female,66.9
AUS,1930,male,63.15
AUS,1931,female,67.33
AUS,1931,male,63.55
AUS,1932,female,67.6
AUS,1932,male,63.83
AUS,1933,female,67.46
AUS,1933,male,63.65
AUS,1934,female,66.69
AUS,1934,male,63.09
AUS,1935,female,67.17
AUS,1935,male,63.18
AUS,1936,female,67.2
AUS,1936,male,63.38
AUS,1937,female,67.96
AUS,1937,male,63.76
AUS,1938,female,67.93
AUS,1938,male,63.8
AUS,1939,female,68.06
AUS,1939,male,63.64
AUS,1940,female,68.64
AUS,1940,male,63.93
AUS,1941,female,68.23
AUS,1941,male,64.05
AUS,1942,female,67.89
AUS,1942,male,63.89
AUS,1943,female,68.25
AUS,1943,male,64.57
AUS,1944,female,69.79
AUS,1944,male,66.25
AUS,1945,female,70.28
AUS,1945,male,66.62
AUS,1946,female,70.15
AUS,1946,male,65.87
AUS,1947,female,70.96
AUS,1947,male,66.28
AUS,1948,female,71
AUS,1948,male,66.14
AUS,1949,female,71.78
AUS,1949,male,66.64
AUS,1950,female,71.72
AUS,1950,male,66.51
AUS,1951,female,71.59
AUS,1951,male,66.08
AUS,1952,female,72.04
AUS,1952,male,66.45
AUS,1953,female,72.56
AUS,1953,male,67.06
AUS,1954,female,72.79
AUS,1954,male,67.18
AUS,1955,female,73.25
AUS,1955,male,67.34
AUS,1956,female,73.05
AUS,1956,male,67.29
AUS,1957,female,73.46
AUS,1957,male,67.45
AUS,1958,female,74.02
AUS,1958,male,67.96
AUS,1959,female,73.74
AUS,1959,male,67.44
AUS,1960,female,74.05
AUS,1960,male,67.95
AUS,1961,female,74.52
AUS,1961,male,68.04
AUS,1962,female,74.29
AUS,1962,male,67.82
AUS,1963,female,74.3
AUS,1963,male,67.9
AUS,1964,female,73.97
AUS,1964,male,67.48
AUS,1965,female,74.24
AUS,1965,male,67.66
AUS,1966,female,74.07
AUS,1966,male,67.57
AUS,1967,female,74.56
AUS,1967,male,67.83
AUS,1968,female,74.23
AUS,1968,male,67.46
AUS,1969,female,74.69
AUS,1969,male,67.76
AUS,1970,female,74.18
AUS,1970,male,67.43
AUS,1971,female,74.9
AUS,1971,male,68.25
AUS,1972,female,75.31
AUS,1972,male,68.48
AUS,1973,female,75.71
AUS,1973,male,68.68
AUS,1974,female,75.5
AUS,1974,male,68.47
AUS,1975,female,76.41
AUS,1975,male,69.37
AUS,1976,female,76.41
AUS,1976,male,69.4
AUS,1977,female,77.06
AUS,1977,male,70.07
AUS,1978,female,77.33
AUS,1978,male,70.33
AUS,1979,female,77.99
AUS,1979,male,70.85
AUS,1980,female,78.22
AUS,1980,male,71.09
AUS,1981,female,78.43
AUS,1981,male,71.3
AUS,1982,female,78.29
AUS,1982,male,71.31
AUS,1983,female,78.82
AUS,1983,male,72.15
AUS,1984,female,78.84
AUS,1984,male,72.27
AUS,1985,female,78.67
AUS,1985,male,72.28
AUS,1986,female,79.31
AUS,1986,male,72.9
AUS,1987,female,79.34
AUS,1987,male,72.92
AUS,1988,female,79.6
AUS,1988,male,73.18
AUS,1989,female,79.38
AUS,1989,male,73.11
AUS,1990,female,80.15
AUS,1990,male,73.98
AUS,1991,female,80.49
AUS,1991,male,74.49
AUS,1992,female,80.48
AUS,1992,male,74.5
AUS,1993,female,80.99
AUS,1993,male,75.04
AUS,1994,female,80.82
AUS,1994,male,74.92
AUS,1995,female,81.13
AUS,1995,male,75.39
AUS,1996,female,81.26
AUS,1996,male,75.45
AUS,1997,female,81.38
AUS,1997,male,75.87
AUS,1998,female,81.86
AUS,1998,male,76.18
AUS,1999,female,82.04
AUS,1999,male,76.5
AUS,2000,female,82.27
AUS,2000,male,76.95
AUS,2001,female,82.61
AUS,2001,male,77.38
AUS,2002,female,82.54
AUS,2002,male,77.54
AUS,2003,female,82.91
AUS,2003,male,77.94
AUS,2004,female,83.17
AUS,2004,male,78.27
AUS,2005,female,83.47
AUS,2005,male,78.67
AUS,2006,female,83.58
AUS,2006,male,78.91
AUS,2007,female,83.53
AUS,2007,male,78.91
AUS,2008,female,83.7
AUS,2008,male,79.14
AUS,2009,female,84
AUS,2009,male,79.44
AUS,2010,female,84.2
AUS,2010,male,79.8
AUS,2011,female,84.25
AUS,2011,male,79.91
AUS,2012,female,84.3
AUS,2012,male,80.26
AUS,2013,female,84.61
AUS,2013,male,80.46
AUS,2014,female,84.49
AUS,2014,male,80.52
AUS,2015,female,84.62
AUS,2015,male,80.56
AUS,2016,female,84.85
AUS,2016,male,80.75
AUS,2017,female,84.74
AUS,2017,male,80.68
AUS,2018,female,85.29
AUS,2018,male,81.21
AUS,2019,female,85.27
AUS,2019,male,81.2
AUS,2020,female,85.69
AUS,2020,male,81.63
AUS,2021,female,85.45
AUS,2021,male,81.5
AUT,1947,female,64.01
AUT,1947,male,58.95
AUT,1948,female,65.77
AUT,1948,male,60.53
AUT,1949,female,65.77
AUT,1949,male,61.02
AUT,1950,female,67.28
AUT,1950,male,62.18
AUT,1951,female,67.81
AUT,1951,male,62.48
AUT,1952,female,69.23
AUT,1952,male,64.09
AUT,1953,female,69.71
AUT,1953,male,64.61
AUT,1954,female,69.88
AUT,1954,male,64.49
AUT,1955,female,70.36
AUT,1955,male,64.56
AUT,1956,female,70.54
AUT,1956,male,64.63
AUT,1957,female,70.51
AUT,1957,male,64.21
AUT,1958,female,71.37
AUT,1958,male,65.33
AUT,1959,female,71.39
AUT,1959,male,65.19
AUT,1960,female,71.9
AUT,1960,male,65.39
AUT,1961,female,72.77
AUT,1961,male,66.41
AUT,1962,female,72.48
AUT,1962,male,66.28
AUT,1963,female,72.66
AUT,1963,male,66.4
AUT,1964,female,73.19
AUT,1964,male,66.78
AUT,1965,female,72.99
AUT,1965,male,66.6
AUT,1966,female,73.34
AUT,1966,male,66.84
AUT,1967,female,73.37
AUT,1967,male,66.62
AUT,1968,female,73.52
AUT,1968,male,66.76
AUT,1969,female,73.27
AUT,1969,male,66.56
AUT,1970,female,73.42
AUT,1970,male,66.51
AUT,1971,female,73.67
AUT,1971,male,66.66
AUT,1972,female,74.02
AUT,1972,male,66.95
AUT,1973,female,74.57
AUT,1973,male,67.54
AUT,1974,female,74.62
AUT,1974,male,67.44
AUT,1975,female,74.7
AUT,1975,male,67.66
AUT,1976,female,75.06
AUT,1976,male,68.19
AUT,1977,female,75.44
AUT,1977,male,68.5
AUT,1978,female,75.65
AUT,1978,male,68.44
AUT,1979,female,75.97
AUT,1979,male,68.78
AUT,1980,female,76.04
AUT,1980,male,68.95
AUT,1981,female,76.38
AUT,1981,male,69.26
AUT,1982,female,76.58
AUT,1982,male,69.37
AUT,1983,female,76.59
AUT,1983,male,69.5
AUT,1984,female,77.18
AUT,1984,male,70
AUT,1985,female,77.3
AUT,1985,male,70.32
AUT,1986,female,77.65
AUT,1986,male,70.89
AUT,1987,female,78.03
AUT,1987,male,71.39
AUT,1988,female,78.52
AUT,1988,male,71.85
AUT,1989,female,78.66
AUT,1989,male,71.9
AUT,1990,female,78.87
AUT,1990,male,72.23
AUT,1991,female,78.98
AUT,1991,male,72.26
AUT,1992,female,79.14
AUT,1992,male,72.5
AUT,1993,female,79.34
AUT,1993,male,72.76
AUT,1994,female,79.64
AUT,1994,male,73.12
AUT,1995,female,79.95
AUT,1995,male,73.29
AUT,1996,female,80.08
AUT,1996,male,73.66
AUT,1997,female,80.54
AUT,1997,male,74.02
AUT,1998,female,80.81
AUT,1998,male,74.44
AUT,1999,female,80.83
AUT,1999,male,74.78
AUT,2000,female,81.09
AUT,2000,male,75.09
AUT,2001,female,81.56
AUT,2001,male,75.58
AUT,2002,female,81.66
AUT,2002,male,75.77
AUT,2003,female,81.54
AUT,2003,male,75.91
AUT,2004,female,82.09
AUT,2004,male,76.39
AUT,2005,female,82.2
AUT,2005,male,76.61
AUT,2006,female,82.63
AUT,2006,male,77.07
AUT,2007,female,82.83
AUT,2007,male,77.29
AUT,2008,female,82.95
AUT,2008,male,77.58
AUT,2009,female,82.85
AUT,2009,male,77.4
AUT,2010,female,83.13
AUT,2010,male,77.66
AUT,2011,female,83.43
AUT,2011,male,78.07
AUT,2012,female,83.29
AUT,2012,male,78.26
AUT,2013,female,83.56
AUT,2013,male,78.46
AUT,2014,female,83.73
AUT,2014,male,78.91
AUT,2015,female,83.58
AUT,2015,male,78.63
AUT,2016,female,83.93
AUT,2016,male,79.14
AUT,2017,female,83.89
AUT,2017,male,79.28
AUT,2018,female,84
AUT,2018,male,79.3
AUT,2019,female,84.2
AUT,2019,male,79.54
AUT,2020,female,83.73
AUT,2020,male,78.93
AUT,2021,female,83.74
AUT,2021,male,78.79
AUT,2022,female,83.77
AUT,2022,male,79.05
AUT,2023,female,84.22
AUT,2023,male,79.44
BEL,1841,female,40.36
BEL,1841,male,40.32
BEL,1842,female,38.54
BEL,1842,male,38.79
BEL,1843,female,40.26
BEL,1843,male,40.5
BEL,1844,female,41.75
BEL,1844,male,42.05
BEL,1845,female,40.79
BEL,1845,male,41.27
BEL,1846,female,38.21
BEL,1846,male,37.48
BEL,1847,female,35.84
BEL,1847,male,34.43
BEL,1848,female,37.91
BEL,1848,male,38.17
BEL,1849,female,34.53
BEL,1849,male,34.49
BEL,1850,female,42.13
BEL,1850,male,42.46
BEL,1851,female,41.76
BEL,1851,male,42.04
BEL,1852,female,41.72
BEL,1852,male,41.89
BEL,1853,female,41.35
BEL,1853,male,41.35
BEL,1854,female,40.09
BEL,1854,male,39.47
BEL,1855,female,37.84
BEL,1855,male,37.09
BEL,1856,female,41.14
BEL,1856,male,40.69
BEL,1857,female,40.65
BEL,1857,male,40.3
BEL,1858,female,40.67
BEL,1858,male,39.7
BEL,1859,female,39.49
BEL,1859,male,38.46
BEL,1860,female,45.72
BEL,1860,male,44.5
BEL,1861,female,41.79
BEL,1861,male,40.74
BEL,1862,female,43.62
BEL,1862,male,42.6
BEL,1863,female,41.88
BEL,1863,male,40.73
BEL,1864,female,40.21
BEL,1864,male,39.41
BEL,1865,female,38.39
BEL,1865,male,37.11
BEL,1866,female,33.3
BEL,1866,male,31.69
BEL,1867,female,44.08
BEL,1867,male,42.06
BEL,1868,female,43.53
BEL,1868,male,41.62
BEL,1869,female,43.3
BEL,1869,male,41.91
BEL,1870,female,41.75
BEL,1870,male,40.14
BEL,1871,female,35.22
BEL,1871,male,33.55
BEL,1872,female,41.02
BEL,1872,male,39.1
BEL,1873,female,44.68
BEL,1873,male,42.38
BEL,1874,female,45.82
BEL,1874,male,43.6
BEL,1875,female,43.4
BEL,1875,male,41.02
BEL,1876,female,44.88
BEL,1876,male,42.54
BEL,1877,female,45.75
BEL,1877,male,43.29
BEL,1878,female,45.62
BEL,1878,male,42.93
BEL,1879,female,45.18
BEL,1879,male,42.57
BEL,1880,female,44.01
BEL,1880,male,41.08
BEL,1881,female,45.92
BEL,1881,male,43.01
BEL,1882,female,47.08
BEL,1882,male,44.12
BEL,1883,female,46.45
BEL,1883,male,43.46
BEL,1884,female,45.72
BEL,1884,male,42.83
BEL,1885,female,46.95
BEL,1885,male,44.08
BEL,1886,female,44.92
BEL,1886,male,41.88
BEL,1887,female,47.76
BEL,1887,male,44.45
BEL,1888,female,46.81
BEL,1888,male,43.15
BEL,1889,female,46.79
BEL,1889,male,43.46
BEL,1890,female,46.12
BEL,1890,male,42.3
BEL,1891,female,45.88
BEL,1891,male,42.33
BEL,1892,female,44.82
BEL,1892,male,41.62
BEL,1893,female,46.05
BEL,1893,male,42.92
BEL,1894,female,48.69
BEL,1894,male,44.73
BEL,1895,female,47.23
BEL,1895,male,43.83
BEL,1896,female,49.77
BEL,1896,male,46.47
BEL,1897,female,50.59
BEL,1897,male,47.19
BEL,1898,female,50.04
BEL,1898,male,46.31
BEL,1899,female,48.23
BEL,1899,male,44.87
BEL,1900,female,48.51
BEL,1900,male,44.98
BEL,1901,female,51.21
BEL,1901,male,47.76
BEL,1902,female,50.82
BEL,1902,male,47.54
BEL,1903,female,51.01
BEL,1903,male,47.56
BEL,1904,female,50.84
BEL,1904,male,47.76
BEL,1905,female,51.68
BEL,1905,male,48.46
BEL,1906,female,51.34
BEL,1906,male,48.07
BEL,1907,female,52.78
BEL,1907,male,49.44
BEL,1908,female,51.38
BEL,1908,male,48.13
BEL,1909,female,52.4
BEL,1909,male,48.99
BEL,1910,female,52.99
BEL,1910,male,49.7
BEL,1911,female,51.12
BEL,1911,male,47.54
BEL,1912,female,54.08
BEL,1912,male,50.5
BEL,1913,female,54.37
BEL,1913,male,50.62
BEL,1914,female,NA
BEL,1914,male,NA
BEL,1915,female,NA
BEL,1915,male,NA
BEL,1916,female,NA
BEL,1916,male,NA
BEL,1917,female,NA
BEL,1917,male,NA
BEL,1918,female,NA
BEL,1918,male,NA
BEL,1919,female,51.08
BEL,1919,male,47.52
BEL,1920,female,55.94
BEL,1920,male,52.15
BEL,1921,female,56.37
BEL,1921,male,53
BEL,1922,female,56.87
BEL,1922,male,53.55
BEL,1923,female,58.6
BEL,1923,male,54.87
BEL,1924,female,59.22
BEL,1924,male,55.63
BEL,1925,female,58.95
BEL,1925,male,55.35
BEL,1926,female,58.73
BEL,1926,male,55.09
BEL,1927,female,58.92
BEL,1927,male,55.36
BEL,1928,female,59.33
BEL,1928,male,55.66
BEL,1929,female,56.95
BEL,1929,male,53.18
BEL,1930,female,59.23
BEL,1930,male,55.07
BEL,1931,female,60.48
BEL,1931,male,56.44
BEL,1932,female,60.44
BEL,1932,male,56.7
BEL,1933,female,60.64
BEL,1933,male,56.79
BEL,1934,female,62.32
BEL,1934,male,58.38
BEL,1935,female,62.01
BEL,1935,male,57.96
BEL,1936,female,62.18
BEL,1936,male,57.73
BEL,1937,female,62.07
BEL,1937,male,57.92
BEL,1938,female,62.47
BEL,1938,male,57.86
BEL,1939,female,62.37
BEL,1939,male,57.86
BEL,1940,female,60.73
BEL,1940,male,51.78
BEL,1941,female,61.73
BEL,1941,male,55.99
BEL,1942,female,61.96
BEL,1942,male,56.46
BEL,1943,female,62.91
BEL,1943,male,57.82
BEL,1944,female,60.76
BEL,1944,male,53.49
BEL,1945,female,61.27
BEL,1945,male,55.56
BEL,1946,female,64.82
BEL,1946,male,59.13
BEL,1947,female,66.19
BEL,1947,male,60.79
BEL,1948,female,67.6
BEL,1948,male,62.34
BEL,1949,female,68.06
BEL,1949,male,62.92
BEL,1950,female,68.89
BEL,1950,male,63.81
BEL,1951,female,69.28
BEL,1951,male,64.29
BEL,1952,female,70.46
BEL,1952,male,65.54
BEL,1953,female,70.9
BEL,1953,male,65.88
BEL,1954,female,71.13
BEL,1954,male,66.11
BEL,1955,female,71.24
BEL,1955,male,65.93
BEL,1956,female,71.61
BEL,1956,male,66.14
BEL,1957,female,71.91
BEL,1957,male,66.55
BEL,1958,female,72.58
BEL,1958,male,67.29
BEL,1959,female,73.07
BEL,1959,male,67.61
BEL,1960,female,72.64
BEL,1960,male,66.71
BEL,1961,female,73.53
BEL,1961,male,67.55
BEL,1962,female,73.13
BEL,1962,male,67.39
BEL,1963,female,73.09
BEL,1963,male,67.09
BEL,1964,female,73.79
BEL,1964,male,67.7
BEL,1965,female,73.64
BEL,1965,male,67.56
BEL,1966,female,73.67
BEL,1966,male,67.67
BEL,1967,female,74.08
BEL,1967,male,67.84
BEL,1968,female,73.78
BEL,1968,male,67.54
BEL,1969,female,73.97
BEL,1969,male,67.49
BEL,1970,female,74.14
BEL,1970,male,67.82
BEL,1971,female,74.38
BEL,1971,male,67.89
BEL,1972,female,74.71
BEL,1972,male,68.2
BEL,1973,female,74.92
BEL,1973,male,68.42
BEL,1974,female,75.23
BEL,1974,male,68.77
BEL,1975,female,75.21
BEL,1975,male,68.78
BEL,1976,female,75.41
BEL,1976,male,68.86
BEL,1977,female,76.06
BEL,1977,male,69.49
BEL,1978,female,76.06
BEL,1978,male,69.39
BEL,1979,female,76.52
BEL,1979,male,69.91
BEL,1980,female,76.66
BEL,1980,male,69.87
BEL,1981,female,77.04
BEL,1981,male,70.28
BEL,1982,female,77.16
BEL,1982,male,70.59
BEL,1983,female,77.14
BEL,1983,male,70.61
BEL,1984,female,77.78
BEL,1984,male,70.95
BEL,1985,female,77.87
BEL,1985,male,71.07
BEL,1986,female,77.99
BEL,1986,male,71.32
BEL,1987,female,78.62
BEL,1987,male,71.91
BEL,1988,female,78.91
BEL,1988,male,72.21
BEL,1989,female,78.92
BEL,1989,male,72.32
BEL,1990,female,79.33
BEL,1990,male,72.7
BEL,1991,female,79.47
BEL,1991,male,72.85
BEL,1992,female,79.67
BEL,1992,male,72.97
BEL,1993,female,79.74
BEL,1993,male,72.94
BEL,1994,female,79.99
BEL,1994,male,73.35
BEL,1995,female,80.18
BEL,1995,male,73.44
BEL,1996,female,80.46
BEL,1996,male,73.83
BEL,1997,female,80.55
BEL,1997,male,74.16
BEL,1998,female,80.56
BEL,1998,male,74.3
BEL,1999,female,80.87
BEL,1999,male,74.37
BEL,2000,female,80.89
BEL,2000,male,74.57
BEL,2001,female,81.16
BEL,2001,male,74.92
BEL,2002,female,81.18
BEL,2002,male,75.08
BEL,2003,female,81.19
BEL,2003,male,75.36
BEL,2004,female,81.85
BEL,2004,male,75.97
BEL,2005,female,81.85
BEL,2005,male,76.14
BEL,2006,female,82.14
BEL,2006,male,76.51
BEL,2007,female,82.19
BEL,2007,male,76.73
BEL,2008,female,82.29
BEL,2008,male,76.77
BEL,2009,female,82.42
BEL,2009,male,77.15
BEL,2010,female,82.61
BEL,2010,male,77.35
BEL,2011,female,82.84
BEL,2011,male,77.75
BEL,2012,female,82.8
BEL,2012,male,77.61
BEL,2013,female,82.89
BEL,2013,male,77.91
BEL,2014,female,83.48
BEL,2014,male,78.53
BEL,2015,female,83.12
BEL,2015,male,78.52
BEL,2016,female,83.65
BEL,2016,male,78.75
BEL,2017,female,83.62
BEL,2017,male,78.96
BEL,2018,female,83.65
BEL,2018,male,79.17
BEL,2019,female,83.97
BEL,2019,male,79.55
BEL,2020,female,83.03
BEL,2020,male,78.5
BEL,2021,female,84
BEL,2021,male,79.21
BEL,2022,female,83.78
BEL,2022,male,79.53
BEL,2023,female,84.06
BEL,2023,male,79.97
BEL,2024,female,84.34
BEL,2024,male,80.16
BGR,1947,female,55.74
BGR,1947,male,52.58
BGR,1948,female,57.26
BGR,1948,male,54.43
BGR,1949,female,59.69
BGR,1949,male,56.34
BGR,1950,female,63.28
BGR,1950,male,59.7
BGR,1951,female,62.27
BGR,1951,male,59.13
BGR,1952,female,61.08
BGR,1952,male,58.09
BGR,1953,female,65.96
BGR,1953,male,62.46
BGR,1954,female,66.15
BGR,1954,male,62.66
BGR,1955,female,66.55
BGR,1955,male,63.13
BGR,1956,female,66.95
BGR,1956,male,63.5
BGR,1957,female,68.33
BGR,1957,male,64.87
BGR,1958,female,70.41
BGR,1958,male,67.03
BGR,1959,female,68.2
BGR,1959,male,65.07
BGR,1960,female,70.92
BGR,1960,male,67.45
BGR,1961,female,72.07
BGR,1961,male,68.42
BGR,1962,female,71.32
BGR,1962,male,67.78
BGR,1963,female,72.02
BGR,1963,male,68.68
BGR,1964,female,72.94
BGR,1964,male,69.35
BGR,1965,female,73.22
BGR,1965,male,69.44
BGR,1966,female,73.15
BGR,1966,male,69.34
BGR,1967,female,72.55
BGR,1967,male,68.36
BGR,1968,female,73.29
BGR,1968,male,69.18
BGR,1969,female,72.77
BGR,1969,male,68.28
BGR,1970,female,73.5
BGR,1970,male,69.1
BGR,1971,female,73.22
BGR,1971,male,68.62
BGR,1972,female,73.19
BGR,1972,male,68.65
BGR,1973,female,73.73
BGR,1973,male,69
BGR,1974,female,73.6
BGR,1974,male,68.95
BGR,1975,female,73.54
BGR,1975,male,68.62
BGR,1976,female,73.88
BGR,1976,male,68.98
BGR,1977,female,73.46
BGR,1977,male,68.25
BGR,1978,female,73.65
BGR,1978,male,68.75
BGR,1979,female,74.01
BGR,1979,male,68.61
BGR,1980,female,73.9
BGR,1980,male,68.45
BGR,1981,female,74.31
BGR,1981,male,68.82
BGR,1982,female,73.95
BGR,1982,male,68.39
BGR,1983,female,74.31
BGR,1983,male,68.39
BGR,1984,female,74.47
BGR,1984,male,68.44
BGR,1985,female,74.25
BGR,1985,male,68.09
BGR,1986,female,74.85
BGR,1986,male,68.5
BGR,1987,female,74.59
BGR,1987,male,68.33
