label,sex,decade,mean_ch_e0
Australia,female,1990s,0.2670000000000002
Australia,female,2000s,0.1990000000000009
Australia,female,2010s,0.12714285714285722
Australia,male,1990s,0.3390000000000001
Australia,male,2000s,0.2989999999999995
Australia,male,2010s,0.19142857142857192
Austria,female,1990s,0.21700000000000016
Austria,female,2000s,0.2019999999999996
Austria,female,2010s,0.13000000000000078
Austria,male,1990s,0.28799999999999953
Austria,male,2000s,0.26200000000000045
Austria,male,2010s,0.23499999999999943
Belarus,female,1990s,-0.24200000000000016
Belarus,female,2000s,0.24500000000000027
Belarus,female,2010s,0.37857142857142734
Belarus,male,1990s,-0.4540000000000006
Belarus,male,2000s,0.2480000000000004
Belarus,male,2010s,0.6128571428571418
Belgium,female,1990s,0.19500000000000028
Belgium,female,2000s,0.1569999999999993
Belgium,female,2010s,0.1388888888888889
Belgium,male,1990s,0.20500000000000113
Belgium,male,2000s,0.2789999999999992
Belgium,male,2010s,0.22888888888888914
Bulgaria,female,1990s,0.018999999999999774
Bulgaria,female,2000s,0.2230000000000004
Bulgaria,female,2010s,0.12625000000000064
Bulgaria,male,1990s,-0.009000000000000341
Bulgaria,male,2000s,0.1969999999999999
Bulgaria,male,2010s,0.15000000000000036
Canada,female,1990s,0.11799999999999926
Canada,female,2000s,0.1690000000000012
Canada,female,2010s,0.13142857142857167
Canada,male,1990s,0.225
Canada,male,2000s,0.26999999999999885
Canada,male,2010s,0.1757142857142863
Czechia,female,1990s,0.2649999999999991
Czechia,female,2000s,0.2219999999999999
Czechia,female,2010s,0.19500000000000028
Czechia,male,1990s,0.3209999999999994
Czechia,male,2000s,0.2829999999999998
Czechia,male,2010s,0.23125000000000107
Denmark,female,1990s,0.11299999999999955
Denmark,female,2000s,0.21500000000000058
Denmark,female,2010s,0.25
Denmark,male,1990s,0.2219999999999999
Denmark,male,2000s,0.26300000000000096
Denmark,male,2010s,0.3014285714285713
Estonia,female,1990s,0.1230000000000004
Estonia,female,2000s,0.3920000000000002
Estonia,female,2010s,0.28125
Estonia,male,1990s,-0.0519999999999996
Estonia,male,2000s,0.4810000000000002
Estonia,male,2010s,0.4599999999999991
Finland,female,1990s,0.21299999999999955
Finland,female,2000s,0.20799999999999982
Finland,female,2010s,0.13555555555555543
Finland,male,1990s,0.28699999999999903
Finland,male,2000s,0.2740000000000009
Finland,male,2010s,0.2744444444444443
France,female,1990s,0.18500000000000086
France,female,2000s,0.18999999999999914
France,female,2010s,0.10875000000000057
France,male,1990s,0.2489999999999995
France,male,2000s,0.28100000000000025
France,male,2010s,0.21124999999999972
Germany,female,1990s,0.2588888888888887
Germany,female,2000s,0.1730000000000004
Germany,female,2010s,0.10125000000000028
Germany,male,1990s,0.29666666666666686
Germany,male,2000s,0.2659999999999997
Germany,male,2010s,0.16500000000000092
Greece,female,1990s,0.1489999999999995
Greece,female,2000s,0.21600000000000108
Greece,female,2010s,0.12249999999999872
Greece,male,1990s,0.10900000000000035
Greece,male,2000s,0.19299999999999926
Greece,male,2010s,0.240000000000002
Hungary,female,1990s,0.1780000000000001
Hungary,female,2000s,0.26299999999999957
Hungary,female,2010s,0.14250000000000007
Hungary,male,1990s,0.14300000000000068
Hungary,male,2000s,0.3450000000000003
Hungary,male,2010s,0.3049999999999997
Iceland,female,1990s,0.12700000000000103
Iceland,female,2000s,0.22299999999999898
Iceland,female,2010s,0.04000000000000016
Iceland,male,1990s,0.13299999999999984
Iceland,male,2000s,0.2219999999999999
Iceland,male,2010s,0.09142857142857151
Ireland,female,1990s,0.15499999999999972
Ireland,female,2000s,0.35500000000000115
Ireland,female,2010s,0.1662499999999998
Ireland,male,1990s,0.1690000000000012
Ireland,male,2000s,0.422999999999999
Ireland,male,2010s,0.3049999999999997
Israel,female,1990s,0.22000000000000028
Israel,female,2000s,0.2719999999999999
Israel,female,2010s,0.13428571428571395
Israel,male,1990s,0.18100000000000022
Israel,male,2000s,0.3030000000000001
Israel,male,2010s,0.1471428571428573
Italy,female,1990s,0.2049999999999997
Italy,female,2000s,0.19899999999999948
Italy,female,2010s,0.19200000000000159
Italy,male,1990s,0.2469999999999999
Italy,male,2000s,0.31099999999999994
Italy,male,2010s,0.2759999999999991
Japan,female,1990s,0.21200000000000047
Japan,female,2000s,0.24399999999999977
Japan,female,2010s,0.11875000000000036
Japan,male,1990s,0.1210000000000008
Japan,male,2000s,0.23599999999999993
Japan,male,2010s,0.19874999999999865
Latvia,female,1990s,-0.013000000000000966
Latvia,female,2000s,0.26300000000000096
Latvia,female,2010s,0.24249999999999972
Latvia,male,1990s,-0.11400000000000006
Latvia,male,2000s,0.33200000000000074
Latvia,male,2010s,0.286249999999999
Lithuania,female,1990s,0.0730000000000004
Lithuania,female,2000s,0.16000000000000086
Lithuania,female,2010s,0.2287499999999998
Lithuania,male,1990s,-0.05100000000000051
Lithuania,male,2000s,0.07900000000000063
Lithuania,male,2010s,0.4474999999999998
Luxembourg,female,1990s,0.275
Luxembourg,female,2000s,0.22000000000000028
Luxembourg,female,2010s,0.1225000000000005
Luxembourg,male,1990s,0.3060000000000002
Luxembourg,male,2000s,0.38599999999999995
Luxembourg,male,2010s,0.17999999999999972
Netherlands,female,1990s,0.053000000000000116
Netherlands,female,2000s,0.2210000000000008
Netherlands,female,2010s,0.06714285714285698
Netherlands,male,1990s,0.16700000000000018
Netherlands,male,2000s,0.3210000000000008
Netherlands,male,2010s,0.1914285714285699
New Zealand,female,1990s,0.23800000000000096
New Zealand,female,2000s,0.21499999999999914
New Zealand,female,2010s,0.2275000000000027
New Zealand,male,1990s,0.35700000000000076
New Zealand,male,2000s,0.3200000000000003
New Zealand,male,2010s,0.30249999999999844
Norway,female,1990s,0.1280000000000001
Norway,female,2000s,0.19399999999999978
Norway,female,2010s,0.1566666666666663
Norway,male,1990s,0.22800000000000012
Norway,male,2000s,0.2980000000000004
Norway,male,2010s,0.2677777777777774
Poland,female,1990s,0.2230000000000004
Poland,female,2000s,0.25299999999999867
Poland,female,2010s,0.25142857142857217
Poland,male,1990s,0.21700000000000016
Poland,male,2000s,0.2980000000000004
Poland,male,2010s,0.3185714285714291
Portugal,female,1990s,0.17099999999999937
Portugal,female,2000s,0.288000000000001
Portugal,female,2010s,0.211666666666666
Portugal,male,1990s,0.16300000000000098
Portugal,male,2000s,0.3739999999999995
Portugal,male,2010s,0.25833333333333286
Russia,female,1990s,-0.20699999999999932
Russia,female,2000s,0.23599999999999993
Russia,female,2010s,0.3400000000000006
Russia,male,1990s,-0.43300000000000055
Russia,male,2000s,0.2980000000000004
Russia,male,2010s,0.48200000000000076
Slovakia,female,1990s,0.1809999999999988
Slovakia,female,2000s,0.18599999999999994
Slovakia,female,2010s,0.20124999999999993
